OBJECTID,shortest_dist
1,876.33
2,873.15
3,875.32
4,671.65
5,538.44
6,170.54
7,654.22
8,667.94
9,622.95
10,840.07
11,844.92
12,857.42
13,855.98
14,632.92
15,663.08
16,783.81
17,784.82
18,788.19
19,777.99
20,788.25
21,635.39
22,816.9
23,644.8
24,624.5
25,788.5
26,648.09
27,646.91
28,641.02
29,792.07
30,622.99
31,631.49
32,631.15
33,696.02
34,799.08
35,2236.71
36,846.45
37,833.93
38,848.56
39,838.09
40,849.35
41,838.14
42,533.63
43,837.86
44,861.84
45,785.51
46,774.32
47,853.91
48,608.11
49,853.38
50,858.41
51,650.08
52,773.57
53,695.54
54,180.27
55,790.78
56,178.02
57,646.29
58,221.07
59,179.36
60,169.19
61,840.94
62,642.23
63,600.43
64,630.58
65,756.15
66,224.0
67,641.79
68,159.55
69,606.74
70,222.53
71,644.07
72,182.54
73,157.73
74,637.73
75,165.86
76,2243.16
77,150.98
78,164.32
79,160.16
80,178.83
81,171.95
82,163.66
83,160.25
84,176.52
85,173.28
86,741.18
87,162.34
88,149.4
89,150.38
90,575.18
91,543.24
92,590.74
93,242.28
94,2247.33
95,604.1
96,242.95
97,859.19
98,155.55
99,317.12
100,553.58
101,216.02
102,328.4
103,575.55
104,245.57
105,318.21
106,164.18
107,549.37
108,320.29
109,162.5
110,544.41
111,546.15
112,149.45
113,147.0
114,178.72
115,569.93
116,561.31
117,147.68
118,571.97
119,555.05
120,704.48
121,229.85
122,245.69
123,859.92
124,212.26
125,354.92
126,884.95
127,541.57
128,745.8
129,321.76
130,353.34
131,346.73
132,242.05
133,160.7
134,838.05
135,162.16
136,539.37
137,595.99
138,594.46
139,355.23
140,854.47
141,352.07
142,164.32
143,644.93
144,854.64
145,345.81
146,351.61
147,527.23
148,536.84
149,180.02
150,577.95
151,155.3
152,511.39
153,177.33
154,176.51
155,155.58
156,154.97
157,569.25
158,545.66
159,543.1
160,540.58
161,538.7
162,535.16
163,516.44
164,512.71
165,510.02
166,624.07
167,457.43
168,599.59
169,837.95
170,543.94
171,853.16
172,792.98
173,632.75
174,655.83
175,561.61
176,618.86
177,876.88
178,627.27
179,545.1
180,595.05
181,865.98
182,558.34
183,569.95
184,602.3
185,430.91
186,667.35
187,854.24
188,789.85
189,636.99
190,632.41
191,612.46
192,634.58
193,866.42
194,557.44
195,828.48
196,622.45
197,598.51
198,543.47
199,626.76
200,849.79
201,688.59
202,863.35
203,829.36
204,225.57
205,617.21
206,669.96
207,881.77
208,421.57
209,243.06
210,540.95
211,604.9
212,614.46
213,871.35
214,853.2
215,633.36
216,835.86
217,810.35
218,575.53
219,823.87
220,581.41
221,344.05
222,255.27
223,647.68
224,536.07
225,884.89
226,564.06
227,565.02
228,549.2
229,535.76
230,566.14
231,540.71
232,326.83
233,890.02
234,329.66
235,541.39
236,338.4
237,250.03
238,739.29
239,549.2
240,646.45
241,615.71
242,324.84
243,138.41
244,154.08
245,250.76
246,540.07
247,540.48
248,876.42
249,885.35
250,845.04
251,880.24
252,872.75
253,569.36
254,589.14
255,438.45
256,171.1
257,640.4
258,245.32
259,572.67
260,320.89
261,601.33
262,590.79
263,439.58
264,641.16
265,234.64
266,560.36
267,571.16
268,869.99
269,621.74
270,597.29
271,799.02
272,575.35
273,580.12
274,243.52
275,616.4
276,337.31
277,882.44
278,560.5
279,315.71
280,585.7
281,205.68
282,255.82
283,139.62
284,796.04
285,852.1
286,630.96
287,352.51
288,328.49
289,884.21
290,577.96
291,321.86
292,593.66
293,643.96
294,320.12
295,564.49
296,562.19
297,173.74
298,528.54
299,565.71
300,577.36
301,544.25
302,231.98
303,351.01
304,225.87
305,637.14
306,552.51
307,535.63
308,531.78
309,535.34
310,183.15
311,330.43
312,559.49
313,185.93
314,553.97
315,536.43
316,554.7
317,325.9
318,403.67
319,319.59
320,542.33
321,549.8
322,559.2
323,897.07
324,868.66
325,351.88
326,839.27
327,320.15
328,561.07
329,247.58
330,555.68
331,719.28
332,565.44
333,253.35
334,352.34
335,567.23
336,250.7
337,606.55
338,330.61
339,316.68
340,888.5
341,244.7
342,565.0
343,529.79
344,235.48
345,853.4
346,871.85
347,886.72
348,172.3
349,314.04
350,170.82
351,178.75
352,350.25
353,584.57
354,571.15
355,162.61
356,854.24
357,181.5
358,537.0
359,235.12
360,861.5
361,589.53
362,150.49
363,873.33
364,186.41
365,533.54
366,166.81
367,534.4
368,179.94
369,555.99
370,180.67
371,171.73
372,880.95
373,184.09
374,171.29
375,880.63
376,150.28
377,181.78
378,139.31
379,161.81
380,451.0
381,418.99
382,226.89
383,146.55
384,591.1
385,584.5
386,578.47
387,577.68
388,571.01
389,566.69
390,549.49
391,543.25
392,542.08
393,539.55
394,542.55
395,542.41
396,528.89
397,527.32
398,528.41
399,526.37
400,523.88
401,522.16
402,521.57
403,515.43
404,513.19
